epoch,FroSSL,BYOL,SimCLR,DCL,MoCo,NNCLR,BarlowTwins,SimSiam
190,86.7200,86.3200,84.6700,84.9100,84.6100,83.5600,83.4000,81.9200
191,86.8700,86.3900,84.8100,84.7300,84.5400,83.4800,83.4400,81.9600
192,86.8000,86.3600,84.8200,84.8000,84.7700,83.7800,83.5000,81.9400
193,86.7700,86.4400,84.6600,84.8000,84.7200,83.6300,83.4300,81.9300
194,86.6000,86.3400,84.6800,84.9500,84.6700,83.6000,83.4000,82.0200
195,86.8000,86.4200,84.7900,84.8500,84.7200,83.7400,83.4700,81.9600
196,86.8000,86.3800,84.7300,84.9400,84.7200,83.6400,83.5300,81.8700
197,86.7900,86.3600,84.6800,84.8200,84.5400,83.8300,83.4900,81.9800
198,86.8200,86.4500,84.7300,84.8800,84.6900,83.7800,83.4400,81.9900
199,86.8500,86.4800,84.6600,84.8300,84.6000,83.7300,83.4400,81.9500
200,86.8600,86.4600,84.7900,84.9500,84.6300,83.7500,83.3200,81.9300
